ID,DateTime,Operation Type,Critical Warning,Temperature,Available Spare,Available Spare Threshold,Percentage Used,Data Units Read,Data Units Written,Host Read Commands,Host Write Commands,Controller Busy Time,Power Cycles,Power On Hours,Unsafe Shutdowns,Media and Data Integrity Errors,Error Information Log Entries,Warning  Comp. Temperature Time,Critical Comp. Temperature Time
2183,2024-12-31 11:43:29,After Write,0x00,54 Celsius,100%,5%,4%,376 [192 MB],"45,197,734 [23.1 TB]","33,200","89,861,344","6,445",1,136,1,0,9,0,0
2184,2024-12-31 11:43:34,Before Write,0x00,54 Celsius,100%,5%,4%,376 [192 MB],"45,197,734 [23.1 TB]","33,200","89,861,346","6,445",1,136,1,0,9,0,0
2184,2024-12-31 11:46:21,After Write,0x00,54 Celsius,100%,5%,4%,376 [192 MB],"45,218,217 [23.1 TB]","33,226","89,901,605","6,447",1,136,1,0,9,0,0
2185,2024-12-31 11:46:26,Before Write,0x00,53 Celsius,100%,5%,4%,376 [192 MB],"45,218,217 [23.1 TB]","33,226","89,901,607","6,447",1,136,1,0,9,0,0
2185,2024-12-31 11:49:58,After Write,0x00,54 Celsius,100%,5%,4%,376 [192 MB],"45,238,700 [23.1 TB]","33,228","89,941,937","6,450",1,136,1,0,9,0,0
2186,2024-12-31 11:50:03,Before Write,0x00,54 Celsius,100%,5%,4%,376 [192 MB],"45,238,700 [23.1 TB]","33,228","89,941,939","6,450",1,136,1,0,9,0,0
2186,2024-12-31 11:53:28,After Write,0x00,54 Celsius,100%,5%,4%,376 [192 MB],"45,259,183 [23.1 TB]","33,235","89,982,165","6,453",1,136,1,0,9,0,0
2187,2024-12-31 11:53:33,Before Write,0x00,54 Celsius,100%,5%,4%,376 [192 MB],"45,259,183 [23.1 TB]","33,235","89,982,167","6,453",1,136,1,0,9,0,0
2187,2024-12-31 11:57:20,After Write,0x00,55 Celsius,100%,5%,4%,376 [192 MB],"45,279,666 [23.1 TB]","33,248","90,022,570","6,456",1,136,1,0,9,0,0
2188,2024-12-31 11:57:25,Before Write,0x00,54 Celsius,100%,5%,4%,376 [192 MB],"45,279,666 [23.1 TB]","33,248","90,022,572","6,456",1,136,1,0,9,0,0
2188,2024-12-31 12:01:33,After Write,0x00,55 Celsius,100%,5%,4%,376 [192 MB],"45,300,149 [23.1 TB]","33,252","90,062,833","6,460",1,136,1,0,9,0,0
2189,2024-12-31 12:01:38,Before Write,0x00,54 Celsius,100%,5%,4%,376 [192 MB],"45,300,149 [23.1 TB]","33,252","90,062,835","6,460",1,136,1,0,9,0,0
2189,2024-12-31 12:06:39,After Write,0x00,55 Celsius,100%,5%,4%,376 [192 MB],"45,320,633 [23.2 TB]","33,263","90,103,255","6,464",1,136,1,0,9,0,0
2190,2024-12-31 12:06:44,Before Write,0x00,55 Celsius,100%,5%,4%,376 [192 MB],"45,320,633 [23.2 TB]","33,263","90,103,257","6,464",1,136,1,0,9,0,0
2190,2024-12-31 12:09:45,After Write,0x00,55 Celsius,100%,5%,4%,376 [192 MB],"45,341,116 [23.2 TB]","33,270","90,143,493","6,467",1,136,1,0,9,0,0
2191,2024-12-31 12:09:50,Before Write,0x00,55 Celsius,100%,5%,4%,376 [192 MB],"45,341,116 [23.2 TB]","33,270","90,143,501","6,467",1,136,1,0,9,0,0
2191,2024-12-31 12:13:31,After Write,0x00,55 Celsius,100%,5%,4%,377 [193 MB],"45,361,599 [23.2 TB]","33,279","90,183,924","6,470",1,136,1,0,9,0,0
2192,2024-12-31 12:13:36,Before Write,0x00,54 Celsius,100%,5%,4%,377 [193 MB],"45,361,599 [23.2 TB]","33,279","90,183,926","6,470",1,136,1,0,9,0,0
2192,2024-12-31 12:17:04,After Write,0x00,54 Celsius,100%,5%,4%,377 [193 MB],"45,382,082 [23.2 TB]","33,281","90,224,206","6,473",1,136,1,0,9,0,0
2193,2024-12-31 12:17:09,Before Write,0x00,54 Celsius,100%,5%,4%,377 [193 MB],"45,382,082 [23.2 TB]","33,281","90,224,216","6,473",1,136,1,0,9,0,0
2193,2024-12-31 12:20:46,After Write,0x00,54 Celsius,100%,5%,4%,377 [193 MB],"45,402,565 [23.2 TB]","33,312","90,264,701","6,476",1,136,1,0,9,0,0
2194,2024-12-31 12:20:51,Before Write,0x00,54 Celsius,100%,5%,4%,377 [193 MB],"45,402,565 [23.2 TB]","33,312","90,264,709","6,476",1,136,1,0,9,0,0
2194,2024-12-31 12:24:30,After Write,0x00,54 Celsius,100%,5%,4%,377 [193 MB],"45,423,048 [23.2 TB]","33,322","90,304,989","6,479",1,136,1,0,9,0,0
2195,2024-12-31 12:24:35,Before Write,0x00,54 Celsius,100%,5%,4%,377 [193 MB],"45,423,048 [23.2 TB]","33,322","90,304,991","6,479",1,136,1,0,9,0,0
2195,2024-12-31 12:28:47,After Write,0x00,55 Celsius,100%,5%,4%,377 [193 MB],"45,443,532 [23.2 TB]","33,349","90,345,497","6,483",1,136,1,0,9,0,0
2196,2024-12-31 12:28:52,Before Write,0x00,55 Celsius,100%,5%,4%,377 [193 MB],"45,443,532 [23.2 TB]","33,349","90,345,499","6,483",1,136,1,0,9,0,0
2196,2024-12-31 12:32:55,After Write,0x00,55 Celsius,100%,5%,4%,377 [193 MB],"45,464,015 [23.2 TB]","33,361","90,385,856","6,486",1,136,1,0,9,0,0
2197,2024-12-31 12:33:00,Before Write,0x00,55 Celsius,100%,5%,4%,377 [193 MB],"45,464,015 [23.2 TB]","33,361","90,385,858","6,486",1,136,1,0,9,0,0
2197,2024-12-31 12:36:35,After Write,0x00,55 Celsius,100%,5%,4%,377 [193 MB],"45,484,499 [23.2 TB]","33,362","90,426,391","6,489",1,136,1,0,9,0,0
2198,2024-12-31 12:36:40,Before Write,0x00,54 Celsius,100%,5%,4%,377 [193 MB],"45,484,499 [23.2 TB]","33,362","90,426,393","6,489",1,136,1,0,9,0,0
2198,2024-12-31 12:40:32,After Write,0x00,55 Celsius,100%,5%,4%,377 [193 MB],"45,504,982 [23.2 TB]","33,376","90,466,811","6,493",1,137,1,0,9,0,0
2199,2024-12-31 12:40:37,Before Write,0x00,54 Celsius,100%,5%,4%,377 [193 MB],"45,504,982 [23.2 TB]","33,376","90,466,813","6,493",1,137,1,0,9,0,0
2199,2024-12-31 12:45:07,After Write,0x00,55 Celsius,100%,5%,4%,377 [193 MB],"45,525,465 [23.3 TB]","33,382","90,507,266","6,497",1,137,1,0,9,0,0
2200,2024-12-31 12:45:12,Before Write,0x00,55 Celsius,100%,5%,4%,377 [193 MB],"45,525,465 [23.3 TB]","33,382","90,507,268","6,497",1,137,1,0,9,0,0
2200,2024-12-31 12:47:58,After Write,0x00,55 Celsius,100%,5%,4%,377 [193 MB],"45,545,948 [23.3 TB]","33,392","90,547,698","6,499",1,137,1,0,9,0,0
2201,2024-12-31 12:48:04,Before Write,0x00,54 Celsius,100%,5%,4%,377 [193 MB],"45,545,948 [23.3 TB]","33,392","90,547,700","6,499",1,137,1,0,9,0,0
2201,2024-12-31 12:52:12,After Write,0x00,53 Celsius,100%,5%,4%,378 [193 MB],"45,566,431 [23.3 TB]","33,421","90,588,158","6,502",1,137,1,0,9,0,0
2202,2024-12-31 12:52:17,Before Write,0x00,53 Celsius,100%,5%,4%,378 [193 MB],"45,566,431 [23.3 TB]","33,421","90,588,160","6,502",1,137,1,0,9,0,0
2202,2024-12-31 12:55:19,After Write,0x00,55 Celsius,100%,5%,4%,378 [193 MB],"45,586,914 [23.3 TB]","33,428","90,628,715","6,505",1,137,1,0,9,0,0
2203,2024-12-31 12:55:24,Before Write,0x00,54 Celsius,100%,5%,4%,378 [193 MB],"45,586,914 [23.3 TB]","33,428","90,628,717","6,505",1,137,1,0,9,0,0
2203,2024-12-31 12:58:26,After Write,0x00,54 Celsius,100%,5%,4%,378 [193 MB],"45,607,397 [23.3 TB]","33,430","90,669,133","6,507",1,137,1,0,9,0,0
2204,2024-12-31 12:58:31,Before Write,0x00,54 Celsius,100%,5%,4%,378 [193 MB],"45,607,397 [23.3 TB]","33,430","90,669,135","6,507",1,137,1,0,9,0,0
2204,2024-12-31 13:02:10,After Write,0x00,55 Celsius,100%,5%,4%,378 [193 MB],"45,627,880 [23.3 TB]","33,431","90,709,757","6,510",1,137,1,0,9,0,0
2205,2024-12-31 13:02:15,Before Write,0x00,55 Celsius,100%,5%,4%,378 [193 MB],"45,627,880 [23.3 TB]","33,431","90,709,765","6,510",1,137,1,0,9,0,0
2205,2024-12-31 13:05:32,After Write,0x00,55 Celsius,100%,5%,4%,378 [193 MB],"45,648,363 [23.3 TB]","33,443","90,750,152","6,513",1,137,1,0,9,0,0
2206,2024-12-31 13:05:37,Before Write,0x00,55 Celsius,100%,5%,4%,378 [193 MB],"45,648,363 [23.3 TB]","33,443","90,750,154","6,513",1,137,1,0,9,0,0
2206,2024-12-31 13:08:20,After Write,0x00,55 Celsius,100%,5%,4%,378 [193 MB],"45,668,846 [23.3 TB]","33,449","90,790,805","6,515",1,137,1,0,9,0,0
2207,2024-12-31 13:08:25,Before Write,0x00,54 Celsius,100%,5%,4%,378 [193 MB],"45,668,846 [23.3 TB]","33,449","90,790,812","6,515",1,137,1,0,9,0,0
2207,2024-12-31 13:12:42,After Write,0x00,56 Celsius,100%,5%,4%,378 [193 MB],"45,689,329 [23.3 TB]","33,459","90,831,232","6,519",1,137,1,0,9,0,0
2208,2024-12-31 13:12:47,Before Write,0x00,55 Celsius,100%,5%,4%,378 [193 MB],"45,689,329 [23.3 TB]","33,459","90,831,234","6,519",1,137,1,0,9,0,0
2208,2024-12-31 13:16:46,After Write,0x00,56 Celsius,100%,5%,4%,378 [193 MB],"45,709,813 [23.4 TB]","33,463","90,871,849","6,523",1,137,1,0,9,0,0
2209,2024-12-31 13:16:51,Before Write,0x00,55 Celsius,100%,5%,4%,378 [193 MB],"45,709,813 [23.4 TB]","33,463","90,871,851","6,523",1,137,1,0,9,0,0
2209,2024-12-31 13:19:32,After Write,0x00,56 Celsius,100%,5%,4%,378 [193 MB],"45,730,295 [23.4 TB]","33,479","90,912,247","6,525",1,137,1,0,9,0,0
2210,2024-12-31 13:19:37,Before Write,0x00,55 Celsius,100%,5%,4%,378 [193 MB],"45,730,295 [23.4 TB]","33,479","90,912,249","6,525",1,137,1,0,9,0,0
2210,2024-12-31 13:23:39,After Write,0x00,56 Celsius,100%,5%,4%,378 [193 MB],"45,750,779 [23.4 TB]","33,514","90,952,888","6,528",1,137,1,0,9,0,0
